IntID,ALID,Alarm Text,SubID,Source,Type,Class,Subclass,Annotation,Arg1,Arg2,Reboot Count,Reinit Count,Retry Count,Clear Count,Time Occurred,Time Cleared,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,10923,ALARM10923-Transfer PnP Z-Axis unable to Home.,106-AmpFault::TrackErr,SC1_Handler:PnP_Transfer,Machine,Assist,Reboot,,,,1,0,1,0,1645589252,1645591485,2/22/2022 20:07,2/22/2022 20:44,0:37:13,71,25,Alarm,Initializing,1,1,0,0,0,5,MTX-06,FSAUS
2,12591,ALARM12591-Right Output Shuttle Door unable to open.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Reboot,,,,1,0,2,0,1645599906,1645608555,2/22/2022 23:05,2/23/2022 1:29,2:24:09,1653,-45,Alarm,Running,1,5,0,226,226,5,MTX-06,FSAUS
3,10352,ALARM10352-TXP ATT unable to retract Pushers or the tray singulator fingers sensor was not blocked. Stn: TPS4 Oper:AT,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,Stn: TPS4 Oper:AT,,0,0,2,0,1645617395,1645617806,2/23/2022 3:56,2/23/2022 4:03,0:06:51,426,-45,Alarm,Running,1,5,0,250,250,5,MTX-06,FSAUS
4,10411,ALARM10411-Unable to Read Tray Sensor on In TPS,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,INPUT_TPS,,0,0,2,0,1645617821,1645617997,2/23/2022 4:03,2/23/2022 4:06,0:02:56,107,-45,Alarm,Diag_Recovery,1,5,0,250,250,5,MTX-06,FSAUS
5,10481,ALARM10481-Unable to Read Tray Sensor on Dock TPS,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,DOCK_TPS,,0,0,1,0,1645618205,1645618326,2/23/2022 4:10,2/23/2022 4:12,0:02:01,114,-45,Alarm,Running,1,5,0,250,250,5,MTX-06,FSAUS
6,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A1 at Boat2.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A1,Boat2,0,0,1,0,1645618940,1645619154,2/23/2022 4:22,2/23/2022 4:25,0:03:34,181,-45,Alarm,Running,1,5,0,356,356,5,MTX-06,FSAUS
7,10352,ALARM10352-TXP ATT unable to retract Pushers or the tray singulator fingers sensor was not blocked. Stn: TrayStack2 Oper:RT,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,Stn: TrayStack2 Oper:RT,,0,0,2,0,1645625292,1645625481,2/23/2022 6:08,2/23/2022 6:11,0:03:09,185,-45,Alarm,Running,1,5,0,1834,1834,5,MTX-06,FSAUS
8,10704,ALARM10704-Boat Xport Conveyor failed to move boat to transfer stack. (target = 0.0000) ,254-Axis Move Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,(target = 0.0000),,0,0,0,0,1645626242,1645626477,2/23/2022 6:24,2/23/2022 6:27,0:03:55,152,-45,Alarm,Running,1,5,0,2170,2170,NA,MTX-06,FSAUS
9,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3;A4 at Boat5.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3;A4,Boat5,0,0,1,1,1645626253,1645626477,2/23/2022 6:24,2/23/2022 6:27,0:03:44,141,-45,Alarm,Running,1,5,0,2170,2170,5,MTX-06,FSAUS
10,10829,ALARM10829-Boat Xport Output Stack Z-axis unable to move. (target = 0.9003) ,254-Axis Move Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,(target = 0.9003),,0,0,2,0,1645626528,1645630038,2/23/2022 6:28,2/23/2022 7:27,0:58:30,1790,-45,Alarm,Initializing,1,5,0,2170,2170,5,MTX-06,FSAUS
11,10481,ALARM10481-Unable to Read Tray Sensor on Dock TPS,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,DOCK_TPS,,0,0,1,0,1645640640,1645640723,2/23/2022 10:24,2/23/2022 10:25,0:01:23,29,-45,Alarm,Initializing,1,5,0,2170,2170,5,MTX-06,FSAUS
12,10352,ALARM10352-TXP ATT unable to retract Pushers or the tray singulator fingers sensor was not blocked. Stn: TrayStack2 Oper:RT,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,Stn: TrayStack2 Oper:RT,,0,0,2,0,1645640808,1645640967,2/23/2022 10:26,2/23/2022 10:29,0:02:39,160,-45,Alarm,Running,1,5,0,2170,2170,5,MTX-06,FSAUS
13,10490,ALARM10490-Unsafe ATT Z Position.Please empty stack 2. Must Unlock TPS doors.,0-None,SC1_Handler:Tray_Xport,User,Assist,Other,,2,,0,0,1,0,1645640968,1645641075,2/23/2022 10:29,2/23/2022 10:31,0:01:47,3643,-45,Alarm,Diag_Recovery,1,5,0,2170,2170,5,MTX-06,FSAUS
14,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3 at Boat8.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3,Boat8,0,0,1,0,1645644611,1645644884,2/23/2022 11:30,2/23/2022 11:34,0:04:33,0,-45,Alarm,Running,1,5,0,3402,3402,5,MTX-06,FSAUS
