Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:21:00,1647638460,3578

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,9876,WARNING9876-Recipe Load of Kit Type found 1 Items with Validation Criteria Range and Value p Total validation errors; go to Recipe detail to view,Machine:Kit,0,0,Reboot,0,1,0,0,0,14:25:19 21-Feb-2022,14:33:07 21-Feb-2022,00:07:48,163,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
2,9876,WARNING9876-Recipe Load of System Type found 10 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,0,Reboot,0,1,0,0,0,14:25:19 21-Feb-2022,14:33:07 21-Feb-2022,00:07:48,163,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
3,9876,WARNING9876-Recipe Load of Test Type found 4 Items not loaded since not found in Validation C Total validation errors; go to Recipe detail to view,Machine:Test,0,0,Reboot,0,1,0,0,0,14:25:19 21-Feb-2022,14:33:07 21-Feb-2022,00:07:48,163,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
4,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Reboot,0,1,0,0,0,14:26:05 21-Feb-2022,14:33:07 21-Feb-2022,00:07:02,117,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
5,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,14:26:22 21-Feb-2022,14:33:07 21-Feb-2022,00:06:45,100,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
6,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,14:26:30 21-Feb-2022,14:33:07 21-Feb-2022,00:06:37,92,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
7,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,14:26:30 21-Feb-2022,14:33:07 21-Feb-2022,00:06:37,92,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
8,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,14:33:41 21-Feb-2022,14:41:53 21-Feb-2022,00:08:12,162,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
9,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,14:34:44 21-Feb-2022,14:40:38 21-Feb-2022,00:05:54,99,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
10,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,14:34:44 21-Feb-2022,14:40:38 21-Feb-2022,00:05:54,99,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
11,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,14:34:51 21-Feb-2022,14:40:38 21-Feb-2022,00:05:47,92,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
12,9876,WARNING9876-Recipe Load of Kit Type found 1 Items with Validation Criteria Range and Value p Total validation errors; go to Recipe detail to view,Machine:Kit,0,0,Reboot,0,1,0,0,0,14:59:47 21-Feb-2022,11:34:14 22-Feb-2022,20:34:27,74261,25.0,Productive,Running,1,1,0,0,0,NA,MTX-06,FSAUS
13,9876,WARNING9876-Recipe Load of System Type found 14 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,0,Reboot,0,1,0,0,0,15:01:34 21-Feb-2022,11:34:14 22-Feb-2022,20:32:40,74154,25.0,Productive,Running,1,1,0,0,0,NA,MTX-06,FSAUS
14,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Reboot,0,1,0,0,0,11:34:55 22-Feb-2022,19:59:39 22-Feb-2022,08:24:44,153,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
15,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:35:48 22-Feb-2022,11:35:56 22-Feb-2022,00:00:08,100,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
16,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:35:49 22-Feb-2022,11:35:57 22-Feb-2022,00:00:08,99,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
17,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:35:55 22-Feb-2022,11:35:57 22-Feb-2022,00:00:02,93,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
18,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,20:00:13 22-Feb-2022,20:07:51 22-Feb-2022,00:07:38,157,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
19,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:01:06 22-Feb-2022,20:06:44 22-Feb-2022,00:05:38,104,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
20,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:01:19 22-Feb-2022,20:06:45 22-Feb-2022,00:05:26,91,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
21,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:01:19 22-Feb-2022,20:06:45 22-Feb-2022,00:05:26,91,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
22,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:25:02 22-Feb-2022,20:25:18 22-Feb-2022,00:00:16,1381,-45.0,Unknown,Diagnostic,1,1,0,0,0,NA,MTX-06,FSAUS
23,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:25:03 22-Feb-2022,20:25:18 22-Feb-2022,00:00:15,1380,-45.0,Unknown,Diagnostic,1,1,0,0,0,NA,MTX-06,FSAUS
24,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:25:03 22-Feb-2022,20:25:19 22-Feb-2022,00:00:16,1380,-45.0,Unknown,Diagnostic,1,1,0,0,0,NA,MTX-06,FSAUS
25,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Reboot,0,1,0,0,0,20:45:23 22-Feb-2022,21:24:57 22-Feb-2022,00:39:34,160,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
26,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,20:46:23 22-Feb-2022,21:24:57 22-Feb-2022,00:38:34,100,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
