Export Time, Export Time Seconds, Last Cycle Count, MCBI, Current Setpoint
2022-Mar-18-14:17:14,1647631034,13613,234,150.0

IntID,ALID,Alarm Text,SubID,Source,Type,Class,Subclass,Annotation,Arg1,Arg2,Reboot Count,Reinit Count,Retry Count,Clear Count,Time Occurred,Time Cleared,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone21(Left_TS_4A) Data1=53827 Data2=57251,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone21(Left_TS_4A) Data1=53827 Data2=57251,,0,0,1,0,1643045218,1643045445,11:26:58 24-Jan-2022,11:30:45 24-Jan-2022,00:03:47,185,25.0,Alarm,Diagnostic,1,5,0,176,176,5,MTX-A05,NXP-AUS
2,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone21(Left_TS_4A) Data1=53827 Data2=57247,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone21(Left_TS_4A) Data1=53827 Data2=57247,,0,0,1,0,1643051230,1643051313,13:07:10 24-Jan-2022,13:08:33 24-Jan-2022,00:01:23,80,50.0,Alarm,Diagnostic,1,5,0,176,176,5,MTX-A05,NXP-AUS
3,12161,ALARM12161-Right Test-Site PnP Chuck(s) 1 2 unable to extend.,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,1 2,,0,0,1,0,1643830073,1643830160,13:27:53 02-Feb-2022,13:29:20 02-Feb-2022,00:01:27,46649,25.0,Alarm,Running,1,5,0,176,176,5,MTX-A05,NXP-AUS
4,14509,ALARM14509-High Voltage not present OR within valid range. (ATC #21). ,0-None,SC1_Handler:KryoProxy,User,Assist,Reboot,,,,1,0,0,0,1643876893,1643877136,02:28:13 03-Feb-2022,02:32:16 03-Feb-2022,00:04:03,488092,35.0,Alarm,Running,1,5,0,176,176,NA,MTX-A05,NXP-AUS
5,11924,ALARM11924-Left Test-Site PnP Z-Axis unable to complete move. (target = 0.0500) ,106-AmpFault::TrackErr,SC1_Handler:Ts_Head_Left,User,Assist,Other,,(target = 0.0500),,0,0,0,0,1644364924,1644365248,18:02:04 08-Feb-2022,18:07:28 08-Feb-2022,00:05:24,61,25.0,Alarm,Running,2,5,0,2,2,NA,MTX-A05,NXP-AUS
6,12104,ALARM12104-Right Test-Site PnP X-Axis unable to complete move. (target = 19.4134) ,50-Axis Out of Range,SC1_Handler:Ts_Head_Right,User,Assist,Other,,(target = 19.4134),,0,0,1,0,1644365561,1644365912,18:12:41 08-Feb-2022,18:18:32 08-Feb-2022,00:05:51,106,25.0,Alarm,Running,2,5,0,16,16,5,MTX-A05,NXP-AUS
7,12104,ALARM12104-Right Test-Site PnP X-Axis unable to complete move. (target = 18.3980) ,50-Axis Out of Range,SC1_Handler:Ts_Head_Right,User,Assist,Other,,(target = 18.3980),,0,0,0,0,1644366368,1644366659,18:26:08 08-Feb-2022,18:30:59 08-Feb-2022,00:04:51,127,25.0,Alarm,Running,2,5,0,30,30,NA,MTX-A05,NXP-AUS
8,10560,ALARM10560-Input PnP pick operation unable to pick up parts on Z-Head(s) B3 at Input TPS1.,200-IO Group Wait Timeout,SC1_Handler:PnP_Input,Machine,Assist,Other,,B3,Input TPS1,0,0,1,0,1644458676,1644461265,20:04:36 09-Feb-2022,20:47:45 09-Feb-2022,00:43:09,2299,25.0,Alarm,Running,3,5,0,4168,4168,5,MTX-A05,NXP-AUS
9,10965,ALARM10965-Transfer PnP parts not found on Z-Head(s) B3 before Z-Axis goes down for place operation at Shuttle.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,B3,Shuttle,0,0,3,0,1644467288,1644468429,22:28:08 09-Feb-2022,22:47:09 09-Feb-2022,00:19:01,1033,25.0,Alarm,Running,3,5,0,6028,6028,5,MTX-A05,NXP-AUS
10,14515,ALARM14515-Maximum Heater temperature exceeded. (ATC #34). Zone15(Left_TS_2C) Data1=19529 Data2=57292,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=19529 Data2=57292,,0,0,1,0,1644468236,1644468328,22:43:56 09-Feb-2022,22:45:28 09-Feb-2022,00:01:32,85,25.0,Alarm,Running,3,5,0,6046,6046,5,MTX-A05,NXP-AUS
11,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=25782 Data2=57292,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=25782 Data2=57292,,0,0,1,0,1644468330,1644468348,22:45:30 09-Feb-2022,22:45:48 09-Feb-2022,00:00:18,5,25.0,Alarm,Running,3,5,0,6046,6046,5,MTX-A05,NXP-AUS
12,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57288,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57288,,0,0,1,0,1644468351,1644468401,22:45:51 09-Feb-2022,22:46:41 09-Feb-2022,00:00:50,47,25.0,Alarm,Diag_Recovery,3,5,0,6046,6046,5,MTX-A05,NXP-AUS
13,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57297,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57297,,0,0,1,0,1644468402,1644468458,22:46:42 09-Feb-2022,22:47:38 09-Feb-2022,00:00:56,10,25.0,Alarm,Diag_Recovery,3,5,0,6046,6046,5,MTX-A05,NXP-AUS
14,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57292,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57292,,0,0,0,0,1644468460,1644469613,22:47:40 09-Feb-2022,23:06:53 09-Feb-2022,00:19:13,30,25.0,Alarm,Running,3,5,0,6052,6052,NA,MTX-A05,NXP-AUS
15,11955,ALARM11955-Left Test-Site PnP lost part on nest(s) B2. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Left,User,Assist,Other,,B2,,0,0,1,1,1644468460,1644468662,22:47:40 09-Feb-2022,22:51:02 09-Feb-2022,00:03:22,30,25.0,Alarm,Running,3,5,0,6052,6052,5,MTX-A05,NXP-AUS
16,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57288,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57288,,0,0,1,0,1644469645,1644469851,23:07:25 09-Feb-2022,23:10:51 09-Feb-2022,00:03:26,203,25.0,Alarm,Initializing,3,5,0,6265,6265,5,MTX-A05,NXP-AUS
17,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57292,0-None,SC1_Handler:KryoProxy,User,Assist,Reboot,,Zone15(Left_TS_2C) Data1=53823 Data2=57292,,1,0,3,0,1644469853,1644470430,23:10:53 09-Feb-2022,23:20:30 09-Feb-2022,00:09:37,36,25.0,Alarm,Running,3,5,0,6265,6265,5,MTX-A05,NXP-AUS
18,12524,ALARM12524-Output PnP Z-Axis unable to complete move. (target = 0.0100) ,55-Axis Drive Fault,SC1_Handler:PnP_Output,Machine,Assist,Reboot,,(target = 0.0100),,1,0,0,0,1644470186,1644470430,23:16:26 09-Feb-2022,23:20:30 09-Feb-2022,00:04:04,556,25.0,Alarm,Running,3,5,0,6265,6265,NA,MTX-A05,NXP-AUS
19,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57292,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57292,,0,0,0,0,1644470465,1644470711,23:21:05 09-Feb-2022,23:25:11 09-Feb-2022,00:04:06,277,25.0,Productive,Uninit,1,1,0,6265,6265,NA,MTX-A05,NXP-AUS
20,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57283,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57283,,0,0,1,0,1644470871,1644471151,23:27:51 09-Feb-2022,23:32:31 09-Feb-2022,00:04:40,226,25.0,Alarm,Initializing,1,1,0,6265,6265,5,MTX-A05,NXP-AUS
21,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57279,0-None,SC1_Handler:KryoProxy,User,Assist,Reboot,,Zone15(Left_TS_2C) Data1=53823 Data2=57279,,1,0,1,0,1644471185,1644477977,23:33:05 09-Feb-2022,01:26:17 10-Feb-2022,01:53:12,5101,50.0,Alarm,Initializing,1,1,0,6265,6265,5,MTX-A05,NXP-AUS
22,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57288,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57288,,0,0,1,0,1644478007,1644478260,01:26:47 10-Feb-2022,01:31:00 10-Feb-2022,00:04:13,139,25.0,Productive,Uninit,1,1,0,0,0,5,MTX-A05,NXP-AUS
23,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57292,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57292,,0,0,0,0,1644478262,1644478276,01:31:02 10-Feb-2022,01:31:16 10-Feb-2022,00:00:14,53,25.0,Alarm,Uninit,1,1,0,0,0,NA,MTX-A05,NXP-AUS
24,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57279,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57279,,0,0,1,0,1644478936,1644479095,01:42:16 10-Feb-2022,01:44:55 10-Feb-2022,00:02:39,62,50.0,Alarm,Initializing,1,1,0,0,0,5,MTX-A05,NXP-AUS
25,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57283,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57283,,0,0,0,0,1644479097,1644479211,01:44:57 10-Feb-2022,01:46:51 10-Feb-2022,00:01:54,146,50.0,Alarm,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
26,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57279,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57279,,0,0,1,0,1644479243,1644479556,01:47:23 10-Feb-2022,01:52:36 10-Feb-2022,00:05:13,309,50.0,Alarm,Initializing,1,1,0,0,0,5,MTX-A05,NXP-AUS
27,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57274,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57274,,0,0,1,0,1644479558,1644479603,01:52:38 10-Feb-2022,01:53:23 10-Feb-2022,00:00:45,43,50.0,Alarm,Running,1,1,0,0,0,5,MTX-A05,NXP-AUS
28,14519,ALARM14519-TH RTD reading out of range value. (ATC #38). Zone15(Left_TS_2C) Data1=53823 Data2=57283,0-None,SC1_Handler:KryoProxy,User,Assist,Other,,Zone15(Left_TS_2C) Data1=53823 Data2=57283,,0,0,0,0,1644479605,1644479710,01:53:25 10-Feb-2022,01:55:10 10-Feb-2022,00:01:45,166,25.0,Alarm,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
