Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:17:19,1647631039,13613

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,9876,WARNING9876-Recipe Load of System Type found 13 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,Assist,Other,0,0,0,0,1,11:31:56 17-Nov-2021,11:34:29 17-Nov-2021,00:02:33,139,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-A05,NXP-AUS
2,9876,WARNING9876-Recipe Load of Test Type found 4 Items not loaded since not found in Validation C Total validation errors; go to Recipe detail to view,Machine:Test,0,Assist,Other,0,0,0,0,1,11:31:56 17-Nov-2021,11:34:24 17-Nov-2021,00:02:28,139,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-A05,NXP-AUS
3,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,Assist,Other,0,0,0,0,1,11:32:00 17-Nov-2021,11:34:55 17-Nov-2021,00:02:55,135,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-A05,NXP-AUS
4,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:33:05 17-Nov-2021,11:33:06 17-Nov-2021,00:00:01,70,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A05,NXP-AUS
5,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:33:05 17-Nov-2021,11:33:06 17-Nov-2021,00:00:01,70,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A05,NXP-AUS
6,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:33:06 17-Nov-2021,11:33:06 17-Nov-2021,00:00:00,69,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A05,NXP-AUS
7,12190,WARNING12190-Device maybe in Contactor(s) B2.  Open rear door and remove device before pushing Clear.,SC1_Handler:Ts_Head_Right,0,Assist,Other,0,0,0,0,5,11:40:35 17-Nov-2021,11:50:12 17-Nov-2021,00:09:37,6,25.0,Productive,Running,1,1,0,0,0,5,MTX-A05,NXP-AUS
8,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:40:59 17-Nov-2021,11:41:42 17-Nov-2021,00:00:43,9,25.0,Productive,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
9,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:41:00 17-Nov-2021,11:41:42 17-Nov-2021,00:00:42,8,25.0,Productive,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
10,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:41:00 17-Nov-2021,11:41:42 17-Nov-2021,00:00:42,8,25.0,Productive,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
11,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:43:19 17-Nov-2021,11:43:25 17-Nov-2021,00:00:06,5,25.0,Productive,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
12,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:43:19 17-Nov-2021,11:43:25 17-Nov-2021,00:00:06,5,25.0,Productive,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
13,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:43:19 17-Nov-2021,11:43:25 17-Nov-2021,00:00:06,5,25.0,Productive,Running,1,1,0,0,0,NA,MTX-A05,NXP-AUS
14,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:45:59 17-Nov-2021,11:46:06 17-Nov-2021,00:00:07,6,25.0,Productive,Diag_Recovery,1,1,0,0,0,NA,MTX-A05,NXP-AUS
