Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:17:52,1647631072,37844

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,14:02:55 04-Jan-2022,14:09:46 04-Jan-2022,00:06:51,141,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A07,
2,9876,WARNING9876-Recipe Load of System Type found 15 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,Assist,Other,0,0,0,0,1,14:02:55 04-Jan-2022,14:05:38 04-Jan-2022,00:02:43,141,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-A07,
3,9876,WARNING9876-Recipe Load of Test Type found 4 Items not loaded since not found in Validation C Total validation errors; go to Recipe detail to view,Machine:Test,0,Assist,Other,0,0,0,0,1,14:02:55 04-Jan-2022,14:05:33 04-Jan-2022,00:02:38,141,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-A07,
4,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,14:04:09 04-Jan-2022,14:04:09 04-Jan-2022,00:00:00,67,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A07,
5,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,14:04:09 04-Jan-2022,14:04:10 04-Jan-2022,00:00:01,67,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A07,
6,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,14:04:09 04-Jan-2022,14:04:10 04-Jan-2022,00:00:01,67,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-A07,
7,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,14:09:00 04-Jan-2022,14:12:25 04-Jan-2022,00:03:25,266,25.0,Productive,Initializing,1,1,0,0,0,NA,MTX-A07,
8,9876,WARNING9876-Recipe Load of System Type found 15 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,Assist,Other,0,0,0,0,1,14:12:03 04-Jan-2022,14:13:33 04-Jan-2022,00:01:30,83,25.0,Productive,Initializing,1,1,0,0,0,5,MTX-A07,
9,4397,WARNING4397-Non Responsive Zones Detected Left_TS_2B Right_TS_2B Right_TS_4B. Closing Main LN2 valve.,SC1_Handler:TCS,0,Assist,Other,0,0,0,1,0,14:13:26 04-Jan-2022,14:13:47 04-Jan-2022,00:00:21,5,25.0,Productive,Initializing,1,1,0,0,0,5,MTX-A07,
10,4393,WARNING4393-Exceeded Cold Heater Duty Cycle Threshold for Left_Input_Shuttle,SC1_Handler:TCS,0,Assist,Other,0,0,0,1,0,14:35:24 04-Jan-2022,14:35:30 04-Jan-2022,00:00:06,1067,25.0,Productive,Running,1,1,0,0,0,5,MTX-A07,
11,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,15:55:51 04-Jan-2022,11:36:45 05-Jan-2022,19:40:54,126640,25.0,Productive,Running,1,1,0,0,336,NA,MTX-A07,
12,4393,WARNING4393-Exceeded Cold Heater Duty Cycle Threshold for Left_Input_Shuttle,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,11:41:44 05-Jan-2022,12:57:27 05-Jan-2022,01:15:43,55487,20.0,Productive,Running,1,1,0,0,336,NA,MTX-A07,
13,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,12:57:03 05-Jan-2022,12:57:27 05-Jan-2022,00:00:24,50968,-45.0,Productive,Running,1,1,0,0,336,NA,MTX-A07,
14,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,16:35:03 05-Jan-2022,16:35:24 05-Jan-2022,00:00:21,37888,50.0,Productive,Running,1,1,0,0,588,NA,MTX-A07,
15,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,11:58:40 06-Jan-2022,11:59:05 06-Jan-2022,00:00:25,6550,130.0,Productive,Running,1,1,0,0,1176,NA,MTX-A07,
16,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,13:47:50 06-Jan-2022,13:48:01 06-Jan-2022,00:00:11,1389,130.0,Productive,Running,1,1,0,0,1176,5,MTX-A07,
17,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,14:10:59 06-Jan-2022,14:11:01 06-Jan-2022,00:00:02,2935,130.0,Productive,Running,1,1,0,0,1212,NA,MTX-A07,
18,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,14:59:54 06-Jan-2022,15:00:01 06-Jan-2022,00:00:07,1541,130.0,Productive,Running,1,1,0,0,1273,NA,MTX-A07,
19,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,15:25:35 06-Jan-2022,15:38:21 06-Jan-2022,00:12:46,1867,130.0,Productive,Running,1,1,0,0,1278,NA,MTX-A07,
20,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,15:25:35 06-Jan-2022,15:38:21 06-Jan-2022,00:12:46,1867,130.0,Productive,Running,1,1,0,0,1278,NA,MTX-A07,
21,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,15:25:35 06-Jan-2022,15:38:21 06-Jan-2022,00:12:46,1867,130.0,Productive,Running,1,1,0,0,1278,NA,MTX-A07,
22,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,15:56:42 06-Jan-2022,15:56:45 06-Jan-2022,00:00:03,1035,130.0,Productive,Running,1,1,0,0,1350,NA,MTX-A07,
23,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,16:42:56 06-Jan-2022,16:43:36 06-Jan-2022,00:00:40,2680,130.0,Productive,Running,1,1,0,0,1376,5,MTX-A07,
24,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,17:27:36 06-Jan-2022,17:27:47 06-Jan-2022,00:00:11,10773,130.0,Productive,Running,1,1,0,0,1576,5,MTX-A07,
25,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,19:31:25 06-Jan-2022,20:13:45 06-Jan-2022,00:42:20,3344,130.0,Productive,Running,1,1,0,0,1776,NA,MTX-A07,
26,4400,WARNING4400-Zone Upper_Chamber is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,19:31:37 06-Jan-2022,19:31:37 06-Jan-2022,00:00:00,3332,25.0,Productive,Running,1,1,0,0,1776,NA,MTX-A07,
27,4401,WARNING4401-Zone Lower_Chamber is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,19:31:37 06-Jan-2022,19:31:38 06-Jan-2022,00:00:01,3332,25.0,Productive,Running,1,1,0,0,1776,NA,MTX-A07,
28,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
 Cancel - Stop after test,SC1_Handler:Ts_Coord,0,0,Other,0,0,0,0,0,20:34:47 06-Jan-2022,20:39:36 06-Jan-2022,00:04:49,133,25.0,Productive,Running,1,1,0,0,1794,NA,MTX-A07,
