fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\Lot_05_46_58_May-14-1652525218.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,-45.0,1652525218,"05:46:58 14-May-2022",1652584074,"22:07:54 14-May-2022",MTX07,5,5,19,2.4615384615384617,2022,209,11950,ALARM11950-Left Test-Site PnP pick operation unable to pick up parts on nest(s) %s.,0,SC1_Handler:Ts_Head_Left,0,User,Assist,Other,,A3,,0,0,0,1,1652550200,1652576713,12:43:20 14-May-2022,20:05:13 14-May-2022,26513,-1,0,0,-45.0,Alarm,Running,1,1,0,29165,29165,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_05_46_58_May-14-1652525218.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,-45.0,1652525218,"05:46:58 14-May-2022",1652584074,"22:07:54 14-May-2022",MTX07,5,5,19,2.4615384615384617,2022,210,12163,"ALARM12163-Handler's Contactor %s stuck device. Open rear door, remove device to push Clear",0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,B1,,0,0,0,1,1652550308,1652576702,12:45:08 14-May-2022,20:05:02 14-May-2022,26394,-1,0,0,-45.0,Alarm,Running,1,1,0,29175,29175,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_06_22_16_May-13-1652440936.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,25.0,1652440936,"06:22:16 13-May-2022",1652487130,"19:12:10 13-May-2022",MTX07,4,5,19,2.4615384615384617,2022,208,10411,ALARM10411-Unable to Read Tray Sensor on In TPS,200,SC1_Handler:Tray_Xport,0,User,Assist,Other,,INPUT_TPS,,0,0,2,0,1652446145,1652452216,07:49:05 13-May-2022,09:30:16 13-May-2022,6071,-1,0,0,150.0,Alarm,Diag_Recovery,1,1,0,28392,28392,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_03_51_39_May-12-1652345499.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,40.0,1652345499,"03:51:39 12-May-2022",1652371481,"11:04:41 12-May-2022",MTX07,3,5,19,2.4615384615384617,2022,207,12155,"ALARM12155-Right Test-Site PnP lost part on nest(s) %s.  Open rear door, remove device to push Clear",0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,B3,,0,0,0,1,1652349117,1652355400,04:51:57 12-May-2022,06:36:40 12-May-2022,6283,-1,0,0,-45.0,Alarm,Running,1,1,0,27681,27681,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_08_57_36_May-08-1652018256.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,150.0,1652018256,"08:57:36 8-May-2022",1652225552,"18:32:32 10-May-2022",MTX07,0,5,19,2.4615384615384617,2022,206,10724,ALARM10724-Boat Xport Indexer1 y-axis failed to move. %s,106,SC1_Handler:Boat_Xport,0,User,Assist,Other,,(target = 17.8635),,0,0,1,0,1652129546,1652130180,15:52:26 09-May-2022,16:03:00 09-May-2022,634,-1,0,0,150.0,Alarm,Running,1,4,0,26686,26686,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_05_30_45_May-07-1651919445.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,150.0,1651919445,"05:30:45 7-May-2022",1651946012,"12:53:32 7-May-2022",MTX07,5,5,18,2.3846153846153846,2022,205,11950,ALARM11950-Left Test-Site PnP pick operation unable to pick up parts on nest(s) %s.,0,SC1_Handler:Ts_Head_Left,0,User,Assist,Other,,A1 B1 C1 D1,,0,0,1,0,1651924657,1651927630,06:57:37 07-May-2022,07:47:10 07-May-2022,2973,-1,0,0,-45.0,Alarm,Running,1,1,0,26202,26202,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_01_09_36_May-07-1651903776.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,-45.0,1651903776,"01:09:36 7-May-2022",1651919446,"05:30:46 7-May-2022",MTX07,5,5,18,2.3846153846153846,2022,204,10492,ALARM10492-Detected ATT Head Misalignment.Verify ATT head and teach Y-Rotation sensor positions.,0,SC1_Handler:Tray_Xport,0,User,Assist,Other,,,,0,0,1,0,1651907440,1651915679,02:10:40 07-May-2022,04:27:59 07-May-2022,8239,-1,0,0,25.0,Alarm,Running,1,1,0,25848,25848,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_20_12_31_May-02-1651540351.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,25.0,1651540351,"20:12:31 2-May-2022",1651551605,"23:20:05 2-May-2022",MTX07,1,5,18,2.3846153846153846,2022,198,12504,ALARM12504-Output PnP X-Axis unable to complete move. %s,106,SC1_Handler:PnP_Output,1,Machine,Assist,Other,,(target = 10.4500),,0,0,1,0,1651547808,1651547925,22:16:48 02-May-2022,22:18:45 02-May-2022,117,-1,0,0,25.0,Alarm,Running,1,1,0,23735,23735,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_20_12_31_May-02-1651540351.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,25.0,1651540351,"20:12:31 2-May-2022",1651551605,"23:20:05 2-May-2022",MTX07,1,5,18,2.3846153846153846,2022,199,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.,200,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,A2,Boat2,0,0,1,0,1651549623,1651549952,22:47:03 02-May-2022,22:52:32 02-May-2022,329,-1,0,0,25.0,Alarm,Running,1,5,0,23815,23815,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_20_12_31_May-02-1651540351.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,25.0,1651540351,"20:12:31 2-May-2022",1651551605,"23:20:05 2-May-2022",MTX07,1,5,18,2.3846153846153846,2022,200,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.,200,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,A2,Boat3,0,0,1,0,1651549992,1651550022,22:53:12 02-May-2022,22:53:42 02-May-2022,30,-1,0,0,25.0,Alarm,Running,1,5,0,23815,23815,,5,MTX-07,NXPAUS
T:/Lot_History\Lot_20_12_31_May-02-1651540351.log,11mm_297_X8_FCPBGA,FINAL_TEST,MTX-07_System1,25.0,1651540351,"20:12:31 2-May-2022",1651551605,"23:20:05 2-May-2022",MTX07,1,5,18,2.3846153846153846,2022,201,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.,200,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,A2,Boat4,0,0,0,1,1651550049,1651550347,22:54:09 02-May-2022,22:59:07 02-May-2022,298,-1,0,0,25.0,Alarm,Running,1,5,0,23822,23822,,5,MTX-07,NXPAUS
