Alarm,Text
ALARM10015,Ionizer Imbalance Detected in Input TPS Zone value %s exceeds %s
ALARM10016,Ionizer Decay Test Unsuccessful in Input TPS Zone
ALARM10017,No Comm with Input TPS Zone
ALARM10020,Ionizer Imbalance Detected in TPS 1-2 Zone value %s exceeds %s
ALARM10021,Ionizer Decay Test Unsuccessful in TPS 1-2 Zone
ALARM10022,No Comm with TPS 1-2 Zone
ALARM10025,Ionizer Imbalance Detected in TPS 3-4 Zone value %s exceeds %s
ALARM10026,Ionizer Decay Test Unsuccessful in TPS 3-4 Zone
ALARM10027,No Comm with TPS 3-4 Zone
ALARM10035,Ionizer Imbalance Detected in TPS 5-6 Zone value %s exceeds %s
ALARM10036,Ionizer Decay Test Unsuccessful in TPS 5-6 Zone
ALARM10037,No Comm with TPS 5-6 Zone
ALARM10040,Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s
ALARM10041,Ionizer Decay Test Unsuccessful in Testsite Zone
ALARM10042,No Comm with Testsite Zone
ALARM10045,Ionizer Imbalance Detected in Zone6 value %s exceeds %s
ALARM10046,Ionizer Decay Test Unsuccessful in Zone6
ALARM10047,No Comm with Zone6
ALARM10100,Tray Storage Undefined Alarm for %s
ALARM10110,Failed to read the Tray presence sensor on Stack 1. Please check the sensor
ALARM10111,Tray not detected on Stack 1
ALARM10112,Failed to read the Tray Orientation sensor on Stack 1
ALARM10113,"Tray Orientation Incorrect on Stack 1. Please correct the error, and clear"
ALARM10114,Failed to read the full stack sensor for Stack 1
ALARM10120,Failed to read the Tray presence sensor on Stack 2. Please check the sensor
ALARM10121,Tray not detected on Stack 2
ALARM10122,Failed to read the Tray Orientation sensor on Stack 2
ALARM10123,"Tray Orientation Incorrect on Stack 2. Please correct the error, and clear"
ALARM10124,Failed to read the full stack sensor for Stack 2
ALARM10130,Failed to read the Tray presence sensor on Stack 3. Please check the sensor
ALARM10131,Tray not detected on Stack 3
ALARM10132,Failed to read the Tray Orientation sensor on Stack 3
ALARM10133,"Tray Orientation Incorrect on Stack 3. Please correct the error, and clear"
