fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\Lot_10_43_30_May-25-1653493411.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,150.0,1653493411,"10:43:31 25-May-2022",1653496829,"11:40:29 25-May-2022",MTX04,2,5,21,2.6153846153846154,2022,118,10764,ALARM10764-Boat Xport Indexer2 y-axis failed to move. %s,106,SC1_Handler:Boat_Xport,0,User,Assist,Other,,(target = 18.3336),,0,0,1,0,1653494368,1653494907,10:59:28 25-May-2022,11:08:27 25-May-2022,539,-1,0,0,50.0,Alarm,Running,1,5,0,32553,32553,,5,MTX-04,FSAUS
T:/Lot_History\Lot_14_22_25_May-24-1653420146.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653420146,"14:22:26 24-May-2022",1653493412,"10:43:32 25-May-2022",MTX04,1,5,21,2.6153846153846154,2022,116,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-32.8,-25.0,0,0,0,0,1653422224,1653422486,14:57:04 24-May-2022,15:01:26 24-May-2022,262,-1,0,0,-45.0,Alarm,Running,1,5,0,30060,30060,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_14_22_25_May-24-1653420146.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653420146,"14:22:26 24-May-2022",1653493412,"10:43:32 25-May-2022",MTX04,2,5,21,2.6153846153846154,2022,117,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 0.4108),,0,0,1,0,1653463807,-,02:30:07 25-May-2022,-,16869,-1,0,0,-45.0,Alarm,Running,1,5,0,32538,32538,,5,MTX-04,FSAUS
T:/Lot_History\Lot_10_09_01_May-24-1653404943.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,50.0,1653404943,"10:09:03 24-May-2022",1653415507,"13:05:07 24-May-2022",MTX04,1,5,21,2.6153846153846154,2022,115,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 0.4108),,0,0,1,0,1653405309,1653407036,10:15:09 24-May-2022,10:43:56 24-May-2022,1727,-1,0,0,-45.0,Alarm,Running,1,5,0,28926,28926,,5,MTX-04,FSAUS
T:/Lot_History\Lot_13_46_39_May-23-1653331600.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653331600,"13:46:40 23-May-2022",1653404944,"10:09:04 24-May-2022",MTX04,0,5,21,2.6153846153846154,2022,112,12161,ALARM12161-Right Test-Site PnP Chuck(s) %s failed to extend.,0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,2,,0,0,1,0,1653333493,1653333680,14:18:13 23-May-2022,14:21:20 23-May-2022,187,-1,0,0,-10.0,Alarm,Running,1,5,0,28318,28318,,5,MTX-04,FSAUS
T:/Lot_History\Lot_13_46_39_May-23-1653331600.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653331600,"13:46:40 23-May-2022",1653404944,"10:09:04 24-May-2022",MTX04,0,5,21,2.6153846153846154,2022,113,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-10.1,-10.0,0,0,1,0,1653337927,1653338000,15:32:07 23-May-2022,15:33:20 23-May-2022,73,-1,0,0,-45.0,Alarm,Running,1,5,0,28318,28318,,5,MTX-04,FSAUS
T:/Lot_History\Lot_13_46_39_May-23-1653331600.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653331600,"13:46:40 23-May-2022",1653404944,"10:09:04 24-May-2022",MTX04,1,5,21,2.6153846153846154,2022,114,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 0.4108),,0,0,0,0,1653375758,,02:02:38 24-May-2022,,0,-1,0,0,-45.0,Alarm,Running,1,5,0,28836,28836,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_19_50_35_May-21-1653180635.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-10.0,1653180635,"19:50:35 21-May-2022",1653331602,"13:46:42 23-May-2022",MTX04,6,5,20,2.5384615384615383,2022,99,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 0.4108),,0,0,1,0,1653191281,1653191896,22:48:01 21-May-2022,22:58:16 21-May-2022,615,-1,0,0,-45.0,Alarm,Running,1,1,0,28167,28167,,5,MTX-04,FSAUS
T:/Lot_History\Lot_19_50_35_May-21-1653180635.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-10.0,1653180635,"19:50:35 21-May-2022",1653331602,"13:46:42 23-May-2022",MTX04,6,5,20,2.5384615384615383,2022,100,10704,ALARM10704-Boat Xport Conveyor failed to move boat to transfer stack.,254,SC1_Handler:Boat_Xport,0,User,Assist,Other,,(target = 0.0000),,0,0,3,0,1653191949,1653192201,22:59:09 21-May-2022,23:03:21 21-May-2022,252,-1,0,0,-45.0,Alarm,Running,1,1,0,28183,28183,,5,MTX-04,FSAUS
T:/Lot_History\Lot_19_50_35_May-21-1653180635.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-10.0,1653180635,"19:50:35 21-May-2022",1653331602,"13:46:42 23-May-2022",MTX04,6,5,20,2.5384615384615383,2022,101,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.,200,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,A3,Boat5,0,0,2,0,1653192004,1653192200,23:00:04 21-May-2022,23:03:20 21-May-2022,196,-1,0,0,-45.0,Alarm,Running,1,1,0,28183,28183,,5,MTX-04,FSAUS
