fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\Lot_04_00_47_May-30-1653901247.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,25.0,1653901247,"04:00:47 30-May-2022",1654540113,"13:28:33 6-Jun-2022",MTX04,3,6,22,2.6923076923076925,2022,156,12161,ALARM12161-Right Test-Site PnP Chuck(s) %s failed to extend.,0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,2,,0,0,1,0,1654188863,1654189420,11:54:23 02-Jun-2022,12:03:40 02-Jun-2022,557,-1,0,0,150.0,Alarm,Running,1,1,0,46627,46627,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,143,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1653720434,1653721630,01:47:14 28-May-2022,02:07:10 28-May-2022,1196,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,144,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-10.1,-10.0,0,0,1,0,1653720481,1653720500,01:48:01 28-May-2022,01:48:20 28-May-2022,19,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,145,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-15.7,-10.0,0,0,0,0,1653720620,1653721012,01:50:20 28-May-2022,01:56:52 28-May-2022,392,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,146,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-10.1,-10.0,0,0,1,0,1653721163,1653721621,01:59:23 28-May-2022,02:07:01 28-May-2022,458,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,147,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-14.1,-10.0,0,0,1,0,1653721742,1653721756,02:09:02 28-May-2022,02:09:16 28-May-2022,14,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,148,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-13.4,-10.0,0,0,0,0,1653721877,1653722191,02:11:17 28-May-2022,02:16:31 28-May-2022,314,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,149,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,1,0,1653722046,1653722203,02:14:06 28-May-2022,02:16:43 28-May-2022,157,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,150,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 1.7937),,0,0,2,0,1653722563,1653725803,02:22:43 28-May-2022,03:16:43 28-May-2022,3240,-1,0,0,-45.0,Alarm,Running,1,1,0,42646,42646,,5,MTX-04,FSAUS
T:/Lot_History\Lot_01_17_46_May-28-1653718666.log,11mm_297_X8_FCPBGA_5-21,11mm_297_X8_FCPBGA,SYS_320-500-149,-45.0,1653718666,"01:17:46 28-May-2022",1653777195,"17:33:15 28-May-2022",MTX04,5,5,21,2.6153846153846154,2022,151,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Reboot,,(target = 1.7940),,1,0,0,0,1653733166,1653754470,05:19:26 28-May-2022,11:14:30 28-May-2022,21304,-1,0,0,25.0,Alarm,Flushing,1,1,0,42646,42646,,NA,MTX-04,FSAUS
