fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\Lot_05_23_56_May-02-1651487036.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651487036,5/2/2022 5:23,1651572482,5/3/2022 5:08,MTX04,0,5,18,2,2022,50,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.,200,SC1_Handler:PnP_Output,1,Machine,Assist,Other,,B1^B3,Shuttle_Output_Right,0,0,1,0,1651493084,1651494165,5/2/2022 7:04,5/2/2022 7:22,1081,-1,0,0,25,Alarm,Running,1,1,0,16299,16299,,5,MTX-04,FSAUS
T:/Lot_History\Lot_11_20_13_May-01-1651422013.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651422013,5/1/2022 11:20,1651431973,5/1/2022 14:06,MTX04,6,5,17,2,2022,49,10944,ALARM10944-Transfer PnP X-Pitch Axis unable to complete move. %s,254,SC1_Handler:PnP_Transfer,1,Machine,Assist,Other,,(target = 0.4108),,0,0,1,0,1651424935,1651426205,5/1/2022 12:08,5/1/2022 12:30,1270,-1,0,0,-45,Alarm,Running,1,1,0,14339,14339,,5,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,36,11104,ALARM11104-Left Input shuttle unable to complete move. %s,254,SC1_Handler:Shuttle_Input_Left,1,User,Assist,Reboot,,(target = 14.1857),,1,0,0,0,1651372707,1651378261,4/30/2022 21:38,4/30/2022 23:11,5554,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,37,12561,"ALARM12561-Output PnP unexpected part found on Z-Head(s) %s, before pick operation at %s.",254,SC1_Handler:PnP_Output,1,User,Assist,Reboot,,?,Rest,1,0,0,0,1651372711,1651378261,4/30/2022 21:38,4/30/2022 23:11,5550,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,38,12544,ALARM12544-Output PnP X-Pitch Axis unable to complete move. %s,55,SC1_Handler:PnP_Output,1,Machine,Assist,Reboot,,(target = 0.0000),,1,0,0,0,1651372720,1651378261,4/30/2022 21:38,4/30/2022 23:11,5541,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,39,12554,ALARM12554-Output PnP Y-Pitch Axis unable to complete move. %s,55,SC1_Handler:PnP_Output,1,Machine,Assist,Reboot,,(target = 0.0000),,1,0,0,0,1651372720,1651378261,4/30/2022 21:38,4/30/2022 23:11,5541,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,40,12514,ALARM12514-Output PnP Y-Axis unable to complete move. %s,55,SC1_Handler:PnP_Output,1,Machine,Assist,Reboot,,(target = 3.5000),,1,0,0,0,1651372722,1651378261,4/30/2022 21:38,4/30/2022 23:11,5539,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,41,10514,ALARM10514-Input PnP Y-Axis unable to complete move. %s,55,SC1_Handler:PnP_Input,1,Machine,Assist,Reboot,,(target = 20.0000),,1,0,0,0,1651372723,1651378261,4/30/2022 21:38,4/30/2022 23:11,5538,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,42,10924,ALARM10924-Transfer PnP Z-Axis unable to complete move. %s,55,SC1_Handler:PnP_Transfer,1,Machine,Assist,Reboot,,(target = 0.0000),,1,0,0,0,1651372724,1651378261,4/30/2022 21:38,4/30/2022 23:11,5537,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,43,10544,ALARM10544-Input PnP X-Pitch Axis unable to complete move.,55,SC1_Handler:PnP_Input,1,User,Assist,Reboot,,(target = 1.0514),,1,0,0,0,1651372725,1651378261,4/30/2022 21:38,4/30/2022 23:11,5536,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
